id,workshopid,userid
1494,2756,5576
1399,2682,5510
1400,2643,5510
1401,2640,5510
1402,2636,5510
1582,2572,5510
1576,2664,5740
1581,2555,5510
1406,2582,5510
1407,2519,5510
1408,2505,5510
1575,2683,5510
1410,2516,3361
1411,2504,5116
1412,2684,5116
1414,2660,4717
1415,2851,1266
1416,2697,5004
1417,2789,5004
1418,2613,5004
1419,2624,5004
1420,2629,5004
1421,2671,5004
1422,2673,5004
1423,2727,5004
1424,2730,5004
1425,2567,5561
1426,2832,5561
1427,2814,5561
1428,2681,5561
1429,2644,5561
1430,2655,5561
1431,2660,5561
1432,2801,5004
1433,2732,5004
1434,2851,4322
1435,2636,5576
1436,2848,5576
1437,2555,4717
1438,2683,5295
1439,2683,5561
1440,2836,4783
1441,2815,5357
1442,2738,5357
1443,2543,3469
1444,2684,3469
1445,2702,3469
1446,2836,3469
1447,2691,3469
1448,2742,3469
1449,2737,3469
6612,3018,10347
1451,2684,4783
2289,2801,5975
1453,2744,5561
1580,2715,5510
1455,2723,5576
1456,2810,1501
1457,2800,1501
1458,2801,1501
1459,2698,1501
1460,2504,1501
1461,2645,505
1462,2738,5644
1463,2744,5644
1464,2759,5116
1465,2624,5116
1466,2695,5116
1467,2852,5116
1468,2744,4332
1469,2833,5561
1470,2851,5576
1471,2819,5561
1472,2504,5598
1473,2772,4332
1474,2757,5663
1475,2757,17
1476,2845,5644
1477,2832,5644
1478,2772,5644
1479,2846,5644
1480,2847,17
6279,2844,11097
1482,2848,17
1483,2848,659
1484,2833,659
1485,2758,659
1486,2658,4332
1487,2756,5644
1488,2812,5644
1767,2539,5971
1579,2714,5510
1491,2755,5510
1492,2710,5510
1493,2560,5510
1495,2854,1183
1496,2836,1183
1497,2615,4589
1498,2744,5576
1499,2845,2204
1500,2670,5259
1501,2782,5165
1502,2823,5576
1503,2777,5576
1616,2852,17
1505,2780,17
1506,2823,5644
2259,2678,6037
1508,2612,4589
1509,2553,4589
1510,2533,1501
1511,2824,1059
1512,2776,17
1513,2812,4869
1514,2591,3469
1515,2555,5644
1516,2716,5644
1517,2845,5378
1518,2755,5295
1519,2555,4307
1520,2750,1232
2014,2733,4893
1522,2724,1232
1523,2683,1232
1524,2575,4869
1525,2845,1232
2013,2751,4893
1527,2858,5165
1528,2692,5644
1529,2774,5316
1530,2751,5316
1531,2536,5715
1532,2528,4947
1533,2751,5715
1534,2817,4947
1535,2733,5715
1536,2630,5715
1537,2742,5715
1538,2815,5715
1539,2850,5715
1540,2798,5715
1541,2844,5715
1542,2852,5715
1543,2669,5715
1544,2616,5715
1545,2813,5715
1546,2495,5715
1547,2603,5715
1548,2525,5715
1549,2818,5715
1550,2752,5715
1551,2847,5715
1552,2842,5715
1553,2853,5150
1554,2747,4332
1555,2644,5343
1556,2682,5343
1557,2757,5644
1558,2846,5343
1559,2702,5299
1560,2690,1501
1561,2495,17
1562,2744,5170
1563,2641,5170
1564,2636,5170
1565,2723,5561
1566,2817,5561
1567,2833,5510
1577,2565,5740
1569,2769,4926
1570,2766,4926
1571,2543,5598
1572,2844,5598
1573,2670,5598
1574,2726,5510
1585,2853,5598
1586,2637,5740
1587,2582,5740
1588,2817,5740
1589,2821,5740
1590,2813,5740
1591,2702,5741
1592,2720,5741
1593,2813,5741
1594,2692,5741
1595,2782,4947
1596,2777,4972
1597,2854,1466
1614,2846,4322
1599,2816,4156
1600,2813,5576
1601,2860,1232
1602,2617,5598
1613,2845,4322
1604,2812,5825
1605,2591,1501
1606,2860,2160
1607,2690,4925
1608,2859,5644
1609,2819,1925
1610,2633,5510
1611,2860,4322
1615,2837,4322
1618,2660,5373
1619,2504,4753
1620,2670,4990
1621,2757,5858
1622,2860,986
1623,2860,17
1624,2860,588
